C00001	O
C03018	*O[C@@H]1[C@@H](CO)OC(O)[C@H](O)[C@H]1O
C03019	CCCC(=O)O[C@@]12[C@H](O)[C@@H](C)[C@@]3(O)[C@@H](C=C(CO)C[C@]4(O)C(=O)C(C)=C[C@@H]34)[C@@H]1C2(C)C
C03021	*NC(=O)[C@H](CC(N)=O)NC(*)=O
C03022	*NC(=O)[C@H](CCCNC(N)=O)NC(*)=O
C03023	*NC(=O)[C@H](CCSC)NC(*)=O
C03027	CC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
C03028	Cc1ncc(C[n+]2csc(CCOP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)c2C)c(N)n1
C03030	O=C([O-])c1c[nH]c(=O)[nH]c1=O
C03031	O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2OP(=O)([O-])[O-])c(=O)[nH]1
C03032	CC(=O)C1=C([O-])[C@@H]2[C@H]3c4c[nH]c5cccc(c45)C[C@H]3C(C)(C)N2C1=O
C03033	*O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O
C03034	Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](C(=O)[O-])[C@H](O)[C@H](O)[C@H]3O)O2)c(=O)[nH]c1=O
C03035	CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
C03036	COC(=O)C1=CC(=O)C=C(OC)[C@@]12Oc1cc(C)cc(O)c1C2=O
C03037	CC12CC(=O)C(CC1=O)C2(C)C
C03039	CC1=C[C@H](O)[C@@H](C(C)C)CC1
C03040	COC(=O)C1=CC(=O)C=C(OC)[C@]12Oc1cc(C)cc(O)c1C2=O
C03042	CCCCCCCCCCCCCCCC[C@@H](O)C(=O)[O-]
C03043	C[NH+]1CCC[C@@H]1c1ccc(=O)[nH]c1
C03044	C[C@@H](O)[C@@H](C)O
C03045	CCCCCCCCCCCCCCCC[C@H](O)C(=O)[O-]
C03046	C[C@H](O)[C@H](C)O
C03047	NC(=[NH2+])NCCCCNC(N)=[NH2+]
C03049	CCCCCCCCCC(O)CCCCCCCCCCCC(=O)[O-]
C03050	CC12CCC3C(CCC4CC(O)CCC43C)C1C[C@H](O)C2
C03051	CC12CCC(O)CC1CCC1C2CCC2(C)C1CC[C@@H]2O
C03052	O=C1c2c(O)cc(O)c(O)c2O[C@H](c2ccc(O)c(O)c2)C1O
C03056	O=c1cccc(O)[nH]1
C03057	O=Cc1ccccc1C(=O)[O-]
C03058	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C(O)CCC(=O)[O-]
C03059	[NH3+]C(CO)(CO)C(=O)[O-]
C03062	O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H](O)C(=O)[O-]
C03063	O=C([O-])CC/C=C\C(=O)C(=O)[O-]
C03064	O=C([O-])[C@H](O)C(=O)CO
C03065	NC(=[NH2+])NCCC(=O)[O-]
C03066	[NH3+][C@H](C(=O)[O-])C(O)CC(=O)[O-]
C03067	O=Cc1cccc(O)c1
C03068	CN1C(=O)N(O)C(=O)C(C)(C2=CCCCC2)C1=O
C03069	CC(C)=CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
C03070	C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
C03071	O=C([O-])CC=[N+]([O-])[O-]
C03072	CC12CCCC1C1CCC3C[C@H](O)CCC3(C)C1CC2
C03074	COc1ccc(-c2coc3ccccc3c2=O)cc1
C03076	O=C([O-])Cc1ccc(Br)cc1
C03077	O=C([O-])Cc1ccc(Cl)cc1
C03078	NC(=[NH2+])NCCCC(N)=O
C03079	[NH3+][C@@H](CC(O)C(=O)[O-])C(=O)[O-]
C03080	CC(C(=O)[O-])c1ccc(O)cc1
C03081	Cc1cc(=O)oc2cc(O)ccc12
C03082	[NH3+][C@@H](CC(=O)OP(=O)([O-])[O-])C(=O)[O-]
C03083	*C(=O)Nc1ccc(*)cc1
C03084	*c1ccc(N)cc1
C03085	*C(=O)OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](O)[C@@H]1O
C03086	*C(=O)OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](O)[C@@H]1O
C03087	CC(=O)NCCCCC(=O)[O-]
C03088	O=c1[nH]cc(CO)c(=O)[nH]1
C03089	CSC[C@H]1OC(O)[C@H](O)[C@@H]1O
C03090	[NH3+][C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
C03091	CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
C03092	CC1(C)OC2(C)CCC1C[C@@H]2O
C03093	O=c1ccc2ccc(O)c(O)c2o1
C03095	*C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)[O-]
C03097	OC[C@H]1O[C@@H](Oc2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O
C03098	S=C=NCc1ccccc1
C03104	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2OP(=O)([O-])[O-])c(=O)n1
C03105	*NC(=O)[C@H](CCCC[NH3+])NC(*)=O
C03107	O=C1O[C@H](C(O)CO)[C@H](O)[C@H]1O
C03108	CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H]([NH3+])CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
C03109	O=C[C@@H](O)[C@H](O)COP(=O)([O-])[O-]
C03110	*[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])O[C@H]2C[C@H](n3ccc(NC)nc3=O)O[C@@H]2COP(=O)([O-])O[C@H]2C[C@H](*)O[C@@H]2COP(=O)([O-])[O-])O1
C03112	[NH3+][C@H](CCCC(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CO)CS[C@H]12)C(=O)[O-]
C03113	CC(C)OP(=O)([O-])OC(C)C
C03114	Cc1cc2nc[nH]c2cc1C
C03115	CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O
C03117	C[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O
C03120	*OP(=O)([O-])OC[C@H](O)CO
C03122	c1(ccccc1)*
C03124	[NH3+][C@@H](CC(=O)NO)C(=O)[O-]
C03125	*[C@@H]1O[C@H](CO)[C@@H](OP(=O)([O-])OC[C@H]2O[C@@H](*)[C@H](O)[C@@H]2OP(=O)([O-])OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](OC(=O)[C@@H]([NH3+])CS)[C@@H]2O)[C@H]1O
C03126	O=C([O-])[C@@H]1OC(O)[C@H](OS(=O)(=O)[O-])[C@@H](O)[C@@H]1O
C03127	*[C@@H]1O[C@H](CO)[C@@H](OP(=O)([O-])OC[C@H]2O[C@@H](*)[C@H](O)[C@@H]2OP(=O)([O-])OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](OC(=O)[C@@H]([NH3+])[C@@H](C)CC)[C@@H]2O)[C@H]1O
C03129	*CCCCC(=O)[O-]
C03130	*O
C03134	CN(C)C=O
C03135	*[C@@H](NC(C)=O)C(=O)[O-]
C03136	CC(=O)NC1C(O)O[C@H](CO)C(O)C1O
C03137	CC(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)[O-]
C03139	NC(N)=[NH+][C@@H](CC(=O)[O-])C(=O)[O-]
C03140	NC(=[NH2+])N[C@@H](CCC(=O)[O-])C(=O)[O-]
C03141	O=C(Nc1ccccc1C(=O)[O-])c1ccccc1
C03142	OC[C@H]1O[C@@H](Nc2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O
C03145	CSCC[C@H](NC=O)C(=O)[O-]
C03146	O=C(CO)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O
C03147	O=C([O-])CC(=O)Nc1ccccc1C(=O)[O-]
C03148	*[C@H]([NH2+]C)C(=O)[O-]
C03149	[NH2+]=C(NCCS(=O)(=O)[O-])NP(=O)([O-])[O-]
C03150	NC(=O)c1ccc[n+]([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1
C03151	*C(=O)NC(CCCNC(N)=[NH2+])C(=O)CCl
C03152	*C(=O)NC(CCCC[NH3+])C(=O)CCl
C03153	CNC(=O)CC[C@H]([NH3+])C(=O)[O-]
C03154	CC(=O)NC[C@H]1O[C@H](O[C@@H]2[C@@H]([NH3+])C[C@@H]([NH3+])[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]3O)[C@H]2O)[C@H]([NH3+])[C@@H](O)[C@@H]1O
C03156	COc1cc(/C=C/C(=O)O[C@@H](C(=O)[O-])[C@@H](O)[C@@H](O)[C@H](O)C(=O)[O-])ccc1O
C03160	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)c1ccccc1C(=O)[O-]
C03164	Oc1ccc2ccc3ccccc3c2c1O
C03166	[NH2+]=C(NCC(=O)[O-])NP(=O)([O-])[O-]
C03167	O=CCP(=O)([O-])O
C03168	*O[C@H]1O[C@H](CO)[C@H](O*)[C@H](O)[C@H]1[NH3+]
C03169	OC[C@H]1O[C@@H]([n+]2cccnc2)[C@H](O)[C@@H]1O
C03170	[NH3+][C@@H](CCC(=O)N[C@H]1CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)NCCC[NH2+]CCCCNC(=O)CNC1=O)C(=O)[O-]
C03172	C[S+](C)CC[C@H]([NH3+])C(=O)[O-]
C03173	CSCC(=O)[O-]
C03174	[NH3+][C@@H](CCC(=O)N[C@@H](CSC(=O)CCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-]
C03175	O=C([O-])C1=C[C@@H](OP(=O)([O-])[O-])[C@@H](O)[C@H](O)C1
C03176	CC12CCCC1C1CCC3CC(OO)CCC3(C)C1CC2
C03177	[NH3+][C@H]1[C@H](O)[C@@H]([NH3+])[C@H](O)[C@@H](OP(=O)([O-])[O-])[C@@H]1O
C03178	O=c1[nH]c2nc([O-])nc([O-])c2nc1[O-]
C03183	CC(C)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)OCc1ccccc1)C(=O)NCC(=O)N1CCC[C@H]1C(=O)[O-]
C03184	C=CC1=C(C)/C2=C/c3c(C)c(CCC(=O)[O-])c4n3[Zn]n3/c(c(C)c(C=C)/c3=C/C3=N/C(=C\4)C(CCC(=O)[O-])=C3C)=C\C1=N2
C03187	Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@@H](C)[C@@H](O)[C@@H](O)[C@H]3O)O2)c(=O)[nH]c1=O
C03188	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)[O-]
C03189	O=P([O-])([O-])OCC(O)CO
C03190	CC1(C)C2CCC1(C)[C@@H](OP(=O)([O-])OP(=O)([O-])O)C2
C03193	*[C@H](NC(=O)[C@H](*)NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)[O-]
C03194	C[C@@H](O)C[NH3+]
C03195	CCCCCCCC[C@@H](O)CCCCCCCCC(=O)[O-]
C03196	O=C([O-])CC[C@H](O)C(=O)[O-]
C03197	C[C@H](O)CC(=O)[O-]
C03198	O=C([O-])[C@@H](O)c1ccc(O)cc1
C03199	CCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCCCC
C03200	OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](O)O[C@H](CO)[C@H]3O)O[C@H](CO)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C03201	*OC[C@H](CO)OC(*)=O
C03203	O=C([O-])c1ccc2ccccc2c1O
C03204	Nc1nc2c(c(=O)[nH]1)N=C(CN(C=O)c1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)CN2
C03205	C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO
C03206	C[NH+](C)[C@@H]1C([O-])=C(C(N)=O)C(=O)[C@@]2(O)C(=O)C3=C(C[C@@H]12)[C@](C)(O)c1cccc(O)c1C3=O
C03207	CC(=O)C1=CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
C03209	Oc1ccccc1-c1ccccc1O
C03210	CC([NH2+]C(C)C(=O)[O-])C(=O)[O-]
C03212	O=c1nc([O-])[n-]c2nccnc12
C03214	CC(=O)C([NH3+])C(=O)[O-]
C03215	O=C([O-])[C@@](O)(CO)[C@H](O)[C@H](O)CO
C03217	O=C([O-])CCC(=O)C(O)C(=O)[O-]
C03218	CNc1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1
C03219	CC(C)/C=N/O
C03220	CC(C)=CCC/C(C)=C/CC/C(C)=C\CO
C03221	CCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
C03223	O=C([O-])c1ccc(O)c(O)c1C(=O)[O-]
C03224	[NH3+][C@@H](Cc1cc(Br)c([O-])c(Br)c1)C(=O)[O-]
C03225	[NH3+][C@@H](Cc1cc([N+](=O)[O-])c([O-])c([N+](=O)[O-])c1)C(=O)[O-]
C03226	COC1=C(O)C(=O)C(C)=C(CC=C(C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)C1=O
C03227	Nc1c(O)cccc1C(=O)C[C@H]([NH3+])C(=O)[O-]
C03228	O=C1CCCC(O)C1
C03230	O=CC(O)c1c[nH]c2ccccc12
C03231	C/C(=C\C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])CC(=O)[O-]
C03232	O=C([O-])C(=O)COP(=O)([O-])[O-]
C03233	O=C([O-])c1cc(O)c(O)cc1C(=O)[O-]
C03235	O=C([O-])COc1ccc(O)cc1
C03236	*[C@@H]1O[C@H](COP(=O)([O-])O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
C03237	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCCCO
C03238	CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
C03239	[NH3+]CCCCC(=O)C(=O)[O-]
C03240	CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@H](C)[C@@H](O)[C@@H](C)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C
C03241	O=C1CCCCC(O)O1
C03242	CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)[O-]
C03243	O=C1C(=O)c2ccccc2-c2ccccc21
C03246	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1OP(=O)([O-])[O-]
C03248	O=C([O-])C#CC(=O)[O-]
C03251	O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
C03254	*OP(=O)(O*)Oc1ccccc1
C03256	[NH3+]C[C@H]1CC[C@H](C(=O)Oc2ccc(CCC(=O)OCc3ccccc3)cc2)CC1
C03263	Cc1c2[nH]c(c1CCC(=O)[O-])Cc1[nH]c(c(CCC(=O)[O-])c1C)Cc1[nH]c(c(CCC(=O)[O-])c1C)Cc1[nH]c(c(C)c1CCC(=O)[O-])C2
C03264	CC(C)C[C@@H](O)C(=O)[O-]
C03267	O=P([O-])([O-])O[C@]1(CO)O[C@H](CO)[C@@H](O)[C@@H]1O
C03268	*O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O
C03269	O=C[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O
C03272	*C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4NC(C)=O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)/C=C/CCCCCCCCCCCCC
C03273	O=CCCCC(=O)[O-]
C03274	O=P([O-])(OCC(O)CO)OCC(O)CO
C03277	O=C([O-])C(=O)Cc1c[nH]cn1
C03280	O=C([O-])OC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](O)[C@@H]1O
C03281	[NH3+]C[C@H]1O[C@H](O[C@@H]2[C@@H]([NH3+])C[C@@H]([NH3+])[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]3O)[C@H]2O)[C@H](O)[C@@H](OP(=O)([O-])[O-])[C@@H]1O
C03283	[NH3+]CC[C@H]([NH3+])C(=O)[O-]
C03284	C[C@@H](C[NH3+])C(=O)[O-]
C03287	[NH3+][C@@H](CCC(=O)OP(=O)([O-])[O-])C(=O)[O-]
C03289	O=C1O[C@H]([C@@H](O)CO)C([O-])=C1O
C03290	[NH3+][C@H](C(=O)[O-])[C@H](O)c1ccccc1
C03291	O=C(CO)[C@H](O)[C@@H](O)COP(=O)([O-])[O-]
C03292	CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CS)C(=O)[O-]
C03293	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])Nc2ccccc2C(=O)[O-])[C@@H](O)[C@H]1O
C03294	*[C@@H]1O[C@H](CO)[C@@H](OP(=O)([O-])OC[C@H]2O[C@@H](*)[C@H](O)[C@@H]2OP(=O)([O-])OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](OC(=O)[C@H](CCSC)NC=O)[C@@H]2O)[C@H]1O
C03296	NC(=[NH2+])NCCC[C@H](NC(=O)CCC(=O)[O-])C(=O)[O-]
C03297	[1*][C@@H]([NH2+][2*])[C@@H]1CC[C@@H]([NH3+])[C@@H](O[C@@H]2[C@@H](NC(C)=O)C[C@@H]([NH3+])[C@H](O[C@H]3OC[C@](C)(O)[C@H]([NH2+]C)[C@H]3O)[C@H]2O)O1
C03298	C[NH2+][C@@H](Cc1c[nH]cn1)C(=O)[O-]
C03299	CCCCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C
C03300	CC(=CCNc1ncnc2nc[nH]c12)CO[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O
C03303	*[C@H]([NH3+])C(=O)N[C@@H](*)C(=O)NC(O)C(=O)[O-]
C03305	O=C(Nc1ccc2ccccc2c1)C1CCC[NH2+]1
C03306	*NC(=O)C[C@H](NC(*)=O)C(=O)[O-]
C03309	C=C[C@@H]1[C@H](C[C@@H]2[NH2+]CCc3c2[nH]c2ccccc32)C(C(=O)OC)=CO[C@H]1O
C03311	N#CCc1cccs1
C03312	O=c1nc(O)[nH]c2c1[nH]c(=O)n2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
C03313	C/C(=C\Cc1c(C)c(O)c2ccccc2c1O)CCC[C@H](C)CCC[C@H](C)CCCC(C)C
C03314	O=C([O-])c1nc2[nH]c([O-])nc([O-])c-2n1
C03315	*NC(=O)[C@H](CCCNC(N)=[NH2+])NC(*)=O
C03317	*OC(=O)C(*)[NH3+]
C03318	*NC(=O)[C@H](CCCC[NH3+])NC(*)=O
C03319	Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)O2)c(=O)[nH]c1=O
C03323	*C[C@@]1(OC[C@@]2(O*)O[C@H](CO)[C@@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
C03325	C[NH+]1C2CC(O)C1C[C@@H](OC(=O)C(CO)c1ccccc1)C2
C03326	CC(=O)NCCCC[C@H](NC(C)=O)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)[O-]
C03328	CCCC(O)(CC(=O)[O-])C(=O)[O-]
C03329	COc1ccc2c(c1OC)CN1CCc3cc4c(cc3[C@@H]1C2)OCO4
C03338	Cc1cc(O)cc(O)c1O
C03339	O=C([O-])C(COP(=O)([O-])[O-])OP(=O)([O-])[O-]
C03340	O=C([O-])C1=N[C@H](C(=O)[O-])CC=C1
C03341	CC(=O)C[C@@H]([NH3+])C(=O)[O-]
C03342	O=C([O-])C(=O)[C@@H](O)[C@@H](O)[C@H](O)CO
C03343	CCCCC(CC)COC(=O)c1ccccc1C(=O)[O-]
C03344	CC(=O)C(C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
C03345	C/C=C(\C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
C03347	[NH3+][C@@H](Cc1cc(Cl)c([O-])c(Cl)c1)C(=O)[O-]
C03348	C[C@@H]1O[C@@H](O)[C@@H](O)C[C@@H]1O
C03349	[NH3+]CCCS(=O)(=O)[O-]
C03351	OCc1cccc(O)c1
C03352	COc1cccc(CO)c1
C03354	CSCCC[NH3+]
C03356	O=C([O-])[C@H](O)[C@@H](CO)OP(=O)([O-])[O-]
C03357	CC(=O)NCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
C03359	Cc1cc(Cl)ccc1O
C03360	O=[N+]([O-])c1ccc(OP(=O)([O-])[O-])cc1
C03361	*C(=O)OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
C03363	*C(NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)[O-]
C03365	CO[C@@H]1[C@@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H]1O
C03366	[NH3+]C[C@@H](CC[C@H]([NH3+])C(=O)[O-])OP(=O)([O-])[O-]
C03367	OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](OC[C@H]3OC(O)[C@H](O)[C@@H](O)[C@@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C03368	C[NH2+][C@H]1C[C@@H]([NH3+])[C@H](O)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@@H]3OC4(O[C@H]23)O[C@H]([C@@H]([NH3+])COP(=O)([O-])[O-])[C@H](O)[C@H](O)[C@H]4O)[C@@H]1O
C03371	*CCC(=O)SC[C@H](NC(*)=O)C(=O)N*
C03372	*C(=O)OCC(=O)COP(=O)([O-])[O-]
C03373	Nc1c[nH+]cn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
C03374	C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)c(CCC(=O)[O-])c2C)NC1=O
C03375	[NH3+]CCC[NH2+]CCC[NH3+]
C03383	O=C1O[C@@H]([C@H](O)CO)[C@H](O)[C@H]1O
C03384	O=P([O-])([O-])OC1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
C03387	O=C[C@@H]1OC(=O)[C@@H](O)[C@@H](O)[C@@H]1O
C03391	*[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])O[C@H]2C[C@H](n3cnc4c(NC)ncnc43)O[C@@H]2COP(=O)([O-])O[C@H]2C[C@H](*)O[C@@H]2COP(=O)([O-])[O-])O1
C03392	C[S+](C)CC(=O)[O-]
C03393	O=C([O-])[C@H](O)[C@H](O)COP(=O)([O-])[O-]
C03394	O=C(COP(=O)([O-])[O-])[C@@H](O)CO
C03395	*C(=O)OC
C03400	*O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
C03401	N[C@@H](C[NH3+])C(=O)[O-]
C03402	*[C@@H]1O[C@H](COP(=O)([O-])O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)([O-])O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2CO)[C@@H](OC(=O)[C@@H](N)CC(N)=O)[C@H]1O
C03404	COC(=O)[C@@H](N)Cc1ccc(O)cc1
C03405	*C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](OS(=O)(=O)[O-])[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)/C=C/CCCCCCCCCCCCC
C03406	[NH2+]=C(NCCC[C@H]([NH3+])C(=O)[O-])N[C@@H](CC(=O)[O-])C(=O)[O-]
C03408	CC(=O)N[C@H]1[C@H](O)O[C@H](C(=O)[O-])[C@H](O)[C@@H]1O
C03409	[NH2+]=CN[C@@H](CC(=O)[O-])C(=O)[O-]
C03410	O=C(CO)N[C@@H]1[C@@H](O)CC(O)(C(=O)[O-])O[C@H]1[C@H](O)[C@H](O)CO
C03411	[NH3+][C@@H](CC(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(=O)[O-]
C03413	CC(=O)NCCC[NH2+]CCCC[NH2+]CCCNC(C)=O
C03414	O=C([O-])CC(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)[O-]
C03415	[NH3+]CCC[C@H](NC(=O)CCC(=O)[O-])C(=O)[O-]
